1963	122	267	156	71	10	4	7	0	152	222	458	330	150
1964	198	134	113	89	75	8	8	7	159	285	390	304	148
1965	174	124	196	91	18	0	5	8	238	252	347	203	138
1966	143	321	150	31	50	10	4	5	237	240	380	203	148
1967	185	190	232	69	52	6	1	6	166	227	239	372	145
1968	174	135	300	56	2	9	4	9	123	138	232	231	118
1969	148	302	219	36	58	6	6	9	69	123	328	383	141
1970	78	376	295	45	55	4	7	8	232	256	308	329	166
1971	105	261	192	71	35	9	7	10	104	192	468	394	154
1972	224	324	212	90	32	7	8	2	125	142	425	488	173
1973	96	195	122	30	68	7	6	4	116	197	316	320	123
1974	209	239	200	64	45	8	3	3	83	133	461	253	142
1975	80	209	209	85	1	10	4	2	82	153	226	222	107
1976	182	261	283	79	54	8	1	6	108	211	398	361	163
1977	149	179	214	82	34	0	7	3	248	128	378	489	159
1978	198	283	129	35	62	5	2	7	107	205	464	367	155
1979	109	155	277	85	35	4	1	9	171	116	484	442	157
1980	143	146	295	64	62	5	9	5	83	240	406	416	156
1981	79	264	200	79	17	7	9	9	126	273	234	384	140
1982	137	260	132	60	29	8	1	2	196	100	389	383	141
1983	238	341	281	85	5	10	4	3	146	278	403	220	168
1984	143	331	106	40	51	3	8	10	211	124	430	486	162
1985	143	190	261	59	22	5	3	5	247	179	453	205	148
1986	122	270	199	56	63	5	3	4	185	213	369	442	161
1987	140	328	163	58	52	3	1	1	202	145	453	371	160
1988	151	337	294	89	30	8	6	5	159	108	396	317	158
1989	197	165	104	92	25	8	10	1	173	246	447	289	146
1990	224	377	253	74	45	10	0	7	101	184	428	397	175
1991	190	224	236	77	1	7	7	10	220	109	363	285	144
1992	235	327	299	80	14	5	7	4	118	207	317	280	158
1993	75	162	237	75	70	5	1	4	106	300	471	332	153
1994	81	260	187	47	16	7	3	9	142	139	325	344	130
1995	167	262	174	56	30	7	5	6	108	282	455	244	150
1996	187	213	108	61	42	0	5	10	189	136	290	343	132
1997	214	192	145	35	12	7	6	9	230	198	382	357	149
1998	187	139	274	41	21	10	0	4	243	294	450	340	167
1999	218	377	225	92	5	9	2	6	183	202	215	466	167
2000	133	328	268	52	39	5	2	1	221	176	491	447	180
2001	122	120	291	52	68	3	0	0	138	116	359	370	137
2002	145	189	130	62	74	9	7	0	174	105	394	447	145
2003	107	185	258	55	30	9	10	8	129	212	247	363	134
2004	237	313	239	75	73	9	4	10	245	220	366	273	172
2005	129	239	185	58	15	9	10	9	211	182	471	263	148
2006	218	243	212	38	49	6	6	3	64	225	479	288	153
2007	182	241	295	96	53	2	7	7	68	201	409	251	151
2008	241	131	187	59	65	4	3	10	192	243	366	357	155
2009	87	349	190	54	49	1	1	1	182	204	365	201	140
2010	102	140	155	36	63	5	9	8	168	203	237	457	132
2011	217	180	204	93	34	10	0	6	74	232	279	228	130
2012	125	345	264	83	17	4	8	10	197	204	243	380	157
2013	217	244	297	61	45	10	10	6	249	212	227	325	159
2014	233	152	276	36	46	9	8	3	207	100	225	354	137
2015	91	325	210	66	70	9	10	9	233	130	392	376	160
2016	144	251	199	54	68	3	10	1	94	142	266	315	129
2017	155	153	237	76	2	0	10	1	169	258	229	286	131
2018	102	237	188	97	35	5	5	4	132	213	485	426	161
